"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
7204,"Males",2009,0,"Lambs",2009,0.30457,43,2.09065189995872,1,"B",0,100
7233,"Males",2009,0,"Lambs",2009,0.10975,43,1.9737662357832,1,"F",1,1400
6633,"Males",2007,0,"Lambs",2007,0.02249,48,1.61104184121857,1,"A",1,300
8756,"Females",2012,0,"Lambs",2012,0.33476,22,2.15165867498731,1,"E",1,200
4668,"Males",2001,0,"Lambs",2001,0.10148,24,1.8824347053486,1,"G",0,300
7220,"Females",2009,0,"Lambs",2009,0.36218,43,2.11209397304893,1,"H",0,100
7165,"Males",2009,0,"Lambs",2009,0.07576,49,1.84739647410587,1,"A",0,400
7242,"Males",2009,0,"Lambs",2009,0.4365,43,1.41366510100758,1,"B",0,0
6732,"Females",2007,0,"Lambs",2007,0.15479,49,1.45058006285055,1,"C",0,400
4622,"Males",2001,0,"Lambs",2001,0.22241,23,1.42467865380065,1,"G",0,400
7327,"Males",2009,0,"Lambs",2009,0.06785,44,2.09733482061286,1,"B",0,800
4609,"Males",2001,0,"Lambs",2001,0.04785,23,1.58526283671774,1,"G",0,1300
7206,"Females",2009,0,"Lambs",2009,0.07137,43,1.59085771785796,1,"H",1,600
6613,"Males",2007,0,"Lambs",2007,0.18375,48,1.79505358637036,2,"E",0,200
6722,"Males",2007,0,"Lambs",2007,0.14291,47,1.93269209773224,2,"B",1,200
7307,"Males",2009,0,"Lambs",2009,0.25371,43,1.91125080289709,2,"C",0,1600
8722,"Males",2012,0,"Lambs",2012,0.48608,22,1.8614366313017,93,"E",0,0
6651,"Females",2007,0,"Lambs",2007,0.28154,48,1.74013309451742,2,"C",0,100
4645,"Males",2001,0,"Lambs",2001,0.17339,24,1.76287265815869,2,"H",0,900
6689,"Males",2007,0,"Lambs",2007,0.61062,47,2.02877054094079,2,"B",1,0
6587,"Females",2007,0,"Lambs",2007,0.28615,49,1.7229118922699,93,"H",0,100
6615,"Females",2007,0,"Lambs",2007,0.90108,48,2.21767540012869,3,"G",1,100
7236,"Males",2009,0,"Lambs",2009,0.05152,43,2.2043642919021,3,"H",0,900
7256,"Males",2009,0,"Lambs",2009,0.25345,44,1.83790167107694,3,"F",1,200
7121,"Females",2009,0,"Lambs",2009,0.23816,42,1.93116025627507,3,"H",0,300
7332,"Males",2009,0,"Lambs",2009,0.15717,44,1.58012723662612,3,"E",0,1200
6703,"Males",2007,0,"Lambs",2007,0.25653,47,1.67423052188309,3,"G",0,1000
4626,"Males",2001,0,"Lambs",2001,0.24439,23,1.73222731025646,3,"C",0,1000
6586,"Males",2007,0,"Lambs",2007,0.57781,49,1.47331817505307,3,"G",0,1200
7260,"Males",2009,0,"Lambs",2009,0.04159,44,1.50358381341843,3,"F",1,1000
7254,"Males",2009,0,"Lambs",2009,0.43192,44,1.84177993966636,3,"G",0,1000
4682,"Males",2001,0,"Lambs",2001,0.25202,24,1.96959160146213,4,"C",0,1700
7194,"Females",2009,0,"Lambs",2009,0.29491,43,1.75640104496029,4,"E",1,200
6678,"Females",2007,0,"Lambs",2007,0.22642,47,1.58493559950853,93,"H",1,200
8733,"Males",2012,0,"Lambs",2012,0.42462,22,1.58222443301603,4,"C",1,200
6625,"Females",2007,0,"Lambs",2007,0.12596,48,1.66612308494553,4,"D",1,200
8782,"Males",2012,0,"Lambs",2012,0.25338,21,1.37227726619332,4,"G",1,200
6567,"Males",2007,0,"Lambs",2007,0.44312,49,1.46413077464183,5,"C",1,600
4672,"Males",2001,0,"Lambs",2001,0.14306,24,2.12295329690494,5,"E",0,600
7239,"Males",2009,0,"Lambs",2009,0.24517,43,1.90214768320178,5,"B",0,1300
8798,"Females",2012,0,"Lambs",2012,0.40216,21,1.71956359461851,5,"F",1,100
4563,"Females",2001,0,"Lambs",2001,0.24185,22,1.8184120604749,5,"H",0,3200
8724,"Males",2012,0,"Lambs",2012,0.36921,22,2.10583187532763,94,"C",1,200
4604,"Females",2001,0,"Lambs",2001,0.16134,23,1.28633709593848,5,"C",0,1600
4659,"Males",2001,0,"Lambs",2001,0.25748,24,1.86208403967703,5,"E",0,2900
7117,"Males",2009,0,"Lambs",2009,0.30416,42,1.35387519008518,6,"B",0,700
4595,"Females",2001,0,"Lambs",2001,0.17505,23,1.7091898746636,6,"D",0,400
7245,"Females",2009,0,"Lambs",2009,0.05766,43,1.91450992596114,6,"B",1,800
4644,"Males",2001,0,"Lambs",2001,0.16383,24,1.50194482596479,6,"C",0,1800
4661,"Males",2001,0,"Lambs",2001,0.03308,24,1.47238636259196,6,"G",0,1200
7328,"Males",2009,0,"Lambs",2009,0.03974,44,1.51331407063684,6,"D",0,0
4568,"Males",2001,0,"Lambs",2001,0.29949,22,1.50856298002795,6,"E",0,800
7178,"Males",2009,0,"Lambs",2009,0.26013,43,1.9171581319589,6,"B",0,2300
6588,"Females",2007,0,"Lambs",2007,0.06703,49,2.37887961542256,6,"B",1,200
7203,"Females",2009,0,"Lambs",2009,0.21129,43,1.93771184580091,6,"D",0,100
